Date,0:00,0:30,1:00,1:30,2:00,2:30,3:00,3:30,4:00,4:30,5:00,5:30,6:00,6:30,7:00,7:30,8:00,8:30,9:00,9:30,10:00,10:30,11:00,11:30,12:00,12:30,13:00,13:30,14:00,14:30,15:00,15:30,16:00,16:30,17:00,17:30,18:00,18:30,19:00,19:30,20:00,20:30,21:00,21:30,22:00,22:30,23:00,23:30,Notes
2024/8/24,50,100,100,100,100,100,100,100,100,100,100,100,75,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Nap,Tired,Period,Tea"
2024/8/25,0,0,0,0,0,50,50,50,100,100,100,100,100,100,100,100,100,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,50,"Headache,Nap,Shower,GoodDay,Alcohol"
2024/8/26,0,75,100,100,100,100,100,100,100,100,100,100,100,100,100,75,50,0,0,0,0,0,0,0,0,0,25,75,100,100,75,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Nap,Tired,Exercise"
2024/8/27,50,50,50,50,50,100,100,100,100,100,100,100,100,100,100,100,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,75,100,Exercise
2024/8/28,100,100,100,100,100,100,100,100,100,50,25,50,100,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Nap
2024/8/29,0,0,50,100,100,100,100,100,100,100,100,100,100,100,100,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Sick,GoodDay"
2024/8/30,0,0,0,50,100,100,100,100,100,100,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Coffee,Tired,GoodDay"
2024/8/31,0,0,0,50,100,100,100,100,100,100,100,100,100,100,50,0,0,0,0,0,0,0,0,0,0,50,75,100,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"StressfulDay,Daytime,Tired,GoodDay,Tea"
2024/8/31,0,0,0,0,50,100,100,100,100,100,100,100,75,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Nap,Daytime"
2024/9/1,50,100,100,100,100,100,100,100,100,100,100,100,100,100,75,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GoodDay
2024/9/2,50,50,50,50,50,100,100,100,100,100,100,100,100,100,100,100,100,100,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"StressfulDay,AteTooLate,Headache,Tired,Exercise"
2024/9/3,50,50,50,100,100,100,100,100,100,100,100,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"StressfulDay,AteTooLate,GoodDay"
2024/9/4,0,0,0,50,50,100,100,100,100,100,100,100,100,100,100,100,100,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"StressfulDay,Shower,GoodDay"
2024/9/5,0,0,0,0,50,50,100,100,100,100,100,100,100,100,100,100,100,50,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"StressfulDay,Tired,GoodDay,Tea"
2024/9/6,0,50,50,50,100,100,100,100,100,100,100,100,100,100,100,100,100,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"StressfulDay,Coffee,Shower,Tired"
2024/9/7,0,0,50,50,100,100,100,100,100,100,100,100,100,100,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"StressfulDay,AteTooLate,Headache,Tired,GoodDay"
2024/9/8,0,50,50,50,100,100,100,100,100,100,100,100,100,100,100,50,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Shower,Tired,GoodDay,Exercise"
2024/9/8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Nap,Daytime,Tired,Exercise"
2024/9/9,50,50,50,100,100,100,100,100,100,100,100,100,100,100,100,75,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"StressfulDay,Headache,Tired,GoodDay"
2024/9/10,0,0,50,50,50,50,50,100,100,100,100,100,100,100,100,100,75,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"StressfulDay,Coffee,GoodDay"
2024/9/11,50,50,50,100,100,100,100,100,100,100,100,100,100,100,100,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Shower,GoodDay"
2024/9/12,50,50,100,100,100,100,100,100,100,100,100,100,100,100,50,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"StressfulDay,Tired,GoodDay,Tea"
2024/9/13,50,100,100,100,100,100,100,100,100,100,100,100,100,50,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"StressfulDay,Headache,Tired"
2024/9/14,0,50,50,50,50,100,100,100,100,100,100,100,100,100,100,100,50,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"StressfulDay,Coffee,Tired,GoodDay,Alcohol,Exercise"
2024/9/15,0,0,0,50,50,50,50,100,100,100,100,100,100,100,100,100,100,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"StressfulDay,Nap,Shower,Daytime,Tired,GoodDay,Exercise"
2024/9/16,0,0,0,50,50,50,100,100,100,100,100,100,100,100,100,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"StressfulDay,AteTooLate,Headache,Tired,GoodDay,Tea"
2024/9/17,50,50,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"StressfulDay,Tired,GoodDay,Tea"
2024/9/18,0,0,0,50,50,100,100,100,100,100,100,100,100,100,75,50,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"StressfulDay,Nap,GoodDay"
2024/9/19,0,50,50,100,100,100,100,100,100,100,100,100,100,100,100,100,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"StressfulDay,Shower,Tired"
2024/9/20,0,0,0,0,50,50,50,50,50,100,100,100,100,100,100,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"StressfulDay,Coffee,Tired,GoodDay,Alcohol,Exercise"
2024/9/21,0,0,0,0,50,50,50,50,100,100,100,100,100,100,100,100,100,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"StressfulDay,AteTooLate,Headache,Shower,GoodDay"
2024/9/22,0,0,50,50,50,100,100,100,100,100,100,100,100,100,100,100,100,100,100,50,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Nap,Shower,Tired,GoodDay"
2024/9/23,0,50,50,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Shower,GoodDay"
2024/9/24,0,0,0,0,0,50,50,50,50,100,100,100,100,100,100,100,100,100,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Shower,Tired,GoodDay"
2024/9/26,0,0,0,50,50,50,50,100,100,100,100,100,100,100,75,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"StressfulDay,Tired,Tea"
2024/9/27,0,0,0,50,50,50,100,100,100,100,100,100,100,100,100,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"StressfulDay,Headache,Tired,Tea"
2024/9/28,0,0,0,0,50,50,50,100,100,100,100,100,100,100,100,100,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"StressfulDay,Headache,Tired,GoodDay"
2024/9/29,0,0,0,50,50,50,50,100,100,100,100,100,100,100,100,100,100,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Shower,Tired,GoodDay"
2024/9/30,0,0,0,0,0,0,0,0,50,50,50,100,100,100,100,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AteTooLate,Tired,GoodDay,Tea"
2024/10/1,25,50,50,75,100,100,100,100,100,100,100,100,100,100,100,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"StressfulDay,AteTooLate,Tired"
2024/10/2,0,0,0,25,50,75,100,100,100,100,100,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"StressfulDay,Headache,Tired,GoodDay,Tea"
2024/10/3,0,50,50,75,100,100,100,100,100,100,100,100,100,100,100,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"StressfulDay,Headache,Shower,Tired,GoodDay,Tea"
2024/10/4,0,0,0,0,50,50,75,100,100,100,100,100,100,100,100,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Headache,Shower,Tired,GoodDay"
2024/10/5,0,0,0,0,0,0,0,50,50,50,100,100,100,100,100,100,100,100,100,75,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Coffee,Shower,Tired,GoodDay"
2024/10/6,0,0,50,75,100,100,100,100,100,100,100,100,100,100,100,100,100,100,75,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AteTooLate,Shower,Tired,GoodDay,Alcohol"
2024/10/7,0,0,0,50,50,100,100,100,100,100,100,100,100,100,100,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AteTooLate
2024/10/8,0,0,50,50,50,50,50,100,100,100,100,100,100,100,100,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"StressfulDay,AteTooLate,Tired"
2024/10/9,0,0,0,0,0,0,50,50,100,100,100,100,100,100,100,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"StressfulDay,AteTooLate,Coffee,Headache,Tired,GoodDay"
2024/10/10,0,0,0,50,50,50,100,100,100,100,100,100,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"StressfulDay,Coffee,Shower,Tired"
2024/10/11,0,0,0,50,50,50,50,100,100,100,100,100,100,100,100,100,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"StressfulDay,Coffee,Shower,Tired,GoodDay"
2024/10/12,0,0,0,0,50,50,50,100,100,100,100,100,100,100,100,100,100,100,100,100,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,"StressfulDay,Nap,Tired,GoodDay"
2024/10/13,50,75,100,100,100,100,100,100,100,100,100,100,100,100,100,100,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"GoodDay,Tea"
2024/10/14,0,0,0,50,50,100,100,100,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Tired,GoodDay,Tea"
2024/10/15,0,0,0,0,0,50,50,50,50,100,100,100,100,100,100,100,75,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GoodDay
2024/10/16,0,0,0,50,50,100,100,100,100,100,100,100,100,100,100,100,75,50,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,StressfulDay
2024/10/17,0,0,50,50,50,50,100,100,100,100,100,100,100,100,75,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"GoodDay,Tea"
2024/10/18,0,50,50,100,100,100,100,100,100,100,100,100,75,50,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"StressfulDay,Coffee,Shower,Tired,GoodDay,Tea"
2024/10/19,0,0,0,0,0,0,50,50,50,100,100,100,100,100,100,100,75,50,0,0,0,0,0,0,0,50,75,100,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,"Headache,Shower,Tired,GoodDay,Tea"
2024/10/20,50,100,100,100,100,100,100,100,100,100,100,100,100,100,100,75,50,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GoodDay
2024/10/21,50,50,50,50,100,100,100,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"StressfulDay,Shower"
2024/10/22,0,0,50,50,50,100,100,100,100,100,100,100,100,100,75,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"StressfulDay,AteTooLate,Shower,Tired,GoodDay"
2024/10/23,0,0,0,0,50,50,50,100,100,100,100,100,100,100,100,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,25,"Tired,GoodDay,Tea"
2024/10/24,50,50,100,100,100,100,100,100,75,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AteTooLate,Shower,Tired,GoodDay"
2024/10/24,0,0,0,0,50,50,100,100,100,100,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"StressfulDay,Coffee,Shower,Tired"
2024/10/28,0,0,0,50,50,50,50,100,100,100,100,100,100,100,100,100,100,100,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Headache,Shower,Tired,Period,GoodDay,Tea,Alcohol,Exercise"
2024/10/29,0,0,0,0,0,50,50,100,100,100,100,100,100,100,100,100,100,100,100,75,50,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AteTooLate,Period,GoodDay"
2024/10/30,0,0,0,50,50,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AteTooLate,GoodDay"
2024/10/31,0,50,50,100,100,100,100,100,100,100,100,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AteTooLate,Period,GoodDay"
2024/11/1,0,0,0,50,50,100,100,100,100,100,100,100,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AteTooLate,Tired,Period,GoodDay"
2024/11/2,0,0,0,0,50,50,50,50,100,100,100,100,100,100,100,100,100,100,100,75,50,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,50,"StressfulDay,Headache,Alcohol"
2024/11/3,50,75,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,75,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"AteTooLate,Headache,Nap,Shower,GoodDay,Alcohol"
2024/11/4,0,0,0,0,0,0,0,25,50,50,50,50,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Coffee,Headache,Shower,Tired,GoodDay,Exercise"
2024/11/5,0,0,50,50,50,100,100,100,100,100,100,100,100,100,100,100,75,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"StressfulDay,AteTooLate,Nap,Shower,Tired,GoodDay"
